,0,3,1,2,5,4,6,7,8,9
113,Sdf4,Rps27rt,Hist1h1d,Eif3k,Gm26740,Nop10,H2-DMb1,Gclm,Cox7a2l,Ccr1
114,Krtcap2,Gm11808,Rfc5,Dennd2d,Sntb1,B4galnt1,Fau,Memo1,Nop10,Sem1
115,Tmbim6,Eif1,Arl6ip1,Psen2,Clk1,2410006H16Rik,Cd40,Plaat3,Rflnb,Dram1
116,Gna15,Naca,Shcbp1,Ndufa4,Asap1,Gm43698,Lmbrd1,E2f2,Srsf5,Metrnl
117,Gpi1,Dapl1,Hsp90aa1,Cd160,Apbb1ip,Cmah,H2-Eb2,Gm4070,Nsg2,Glrx
118,CAAA01147332.1,Fth1,Dnmt1,H2-Q4,Abtb2,Saraf,Sh3bp5,Fbxo9,Ppp1r15a,Cfb
119,Psme2,Rflnb,Gzmk,Mrps16,Man1a,Gm44174,Icosl,March5,Ramp1,Cfp
120,Igtp,Atp1b3,Ywhah,Tigit,Msi2,Gm11808,Cxcr5,Ube2f,Rpl24,Ifi204
121,Ly6e,Rpl24,Calm1,Mbnl1,Prkca,Arl4c,Immp2l,Dnajb2,Snhg1,Prkcd
122,Csnk2b,Tsc22d3,Fen1,Fau,Crebbp,Gm42418,Ncf2,Mgst3,Snhg12,Vamp8
123,Glipr2,Actn1,S100a6,Arhgef3,Zfand3,Fos,H2-Q6,Gm8797,Ly6c1,Clec12a
124,Rgs1,Snhg8,Cox5b,Tma7,Scml4,Trmt112,Snx5,Fam32a,Ier5,Serpina3g
125,Ctla4,Il6ra,Hnrnpa2b1,Borcs8,Plcl2,Hcst,Psap,Nadk2,Mir142hg,Gbp2
126,Itgal,Tmsb10,Gzmb,Btg1,Smg1,Snhg8,Cd55,Snx15,Eef1d,Grina
127,Gmfg,Eef2,Cdkn3,Rab37,Wnk1,mt-Nd2,Bach2,Pttg1,Ier2,Isg15
128,Reep5,Pfdn5,Mif,Lax1,Kdm6a,Rps27rt,2410006H16Rik,Hbq1a,Fos,Ube2l6
129,Acadl,Arhgap45,Rps27l,Gphn,Fli1,Eef2,Scd1,Paqr9,Pfdn5,Ifi205
130,Pgam1,Rpl36al,Ncapg,Ifngas1,Phf21a,Rabac1,Irf5,Smap1,Rpl7a,Pkm
131,Ostf1,Cnbp,Pgam1,Atp5d,Rictor,Tsc22d3,Gpx1,Nxpe2,Hmgn1,Srgn
132,Tnfrsf4,Itm2a,Ppp1ca,Plaat3,Lpp,Tcf7,Prkcb,Ube2r2,Itm2a,Lair1
133,Laptm5,Fos,Rnaseh2b,S100a13,Sipa1l1,Adgrg5,Btk,Atg12,Foxp1,Mcub
134,Ucp2,Foxp1,Mcm6,Esd,Slco3a1,Snhg1,Bcar3,AK157302,Rpl36al,Csf2ra
135,Pomp,Eif4a2,Ppil1,Zap70,Fgf13,Dnajc15,Arhgap17,Eif5,Churc1,Gm4951
136,Lgals3bp,Ramp1,Slbp,Lamtor4,Lrba,Rpl36al,Arhgap24,Eif1,Mrpl23,Asah1
137,Fgl2,Selenow,Ckap2l,Ctsw,Zswim6,Jun,Tcf4,Prkar2b,Rgcc,Pgam1
138,Cd48,Eef1d,Sdf2l1,Psenen,Luc7l2,Junb,Fcgr2b,Fam214b,Gm11808,Tpi1
139,Cap1,Bach2,1810037I17Rik,Actg1,Bcl2,Mrpl23,Arpc5l,Cul4a,Dusp1,Ly6a
140,Arpc2,Pnrc1,Ccdc34,Cox7b,Fbxl17,Cmss1,Ppp3ca,Carhsp1,Acp5,Tpd52
141,Ppp1r12a,Ier2,Plac8,Rgs3,Pecam1,Rnf167,Ftl1,Arf5,Trmt112,Marcks
142,Atxn1,Malat1,Reep5,Rhog,Gm26917,Ndufa6,Hmgn1,Gm15564,Snhg8,Atp6v0b
143,Cox8a,Eif3e,Cmc2,Lrp10,Lrrc8c,Ccr9,Aff3,Prnp,Nme2,Gngt2
144,Eno1,Rnf167,Tmsb4x,Pdcd4,Jmjd1c,Pdcd4,Ptp4a3,Gm16867,Trbc2,Stx7
145,Fkbp1a,Ndufa6,Ndc80,Cib1,Abi1,Pfdn5,Camk2d,Cdc25b,Actn1,Rab32
146,Vamp8,Btg2,Rad51,Csk,Vti1a,Sidt1,Birc3,Cdr2,Il7r,Klra2
147,Grina,Ier5,Gm4316,Mndal,Ncor1,Hmgn1,Rasgef1b,Asb1,Rasgrp2,Cd300c2
148,Cd3g,Rpl41,Rpa2,Gimap1,Prkcb,Tdrp,Rasgrp3,Hexb,Il6ra,Gm21188
149,Oaz1,Inpp4b,Cep55,Ypel3,Usp34,Itgae,Lmo2,Chp1,A930005H10Rik,AA467197
150,Efhd2,Mir142hg,Cmtm7,Pomp,Zc3hav1,Ramp1,Apoe,Bsg,Atp1b1,H2-DMa
151,Samhd1,Hmgn1,Glrx,Abcb9,Zfp292,Ctsw,B3gnt5,Mettl27,Eef1g,Marcksl1
152,Sh2d1a,Cdk8,Rfc4,Actb,Dennd1b,Eif3f,Dennd4a,Vangl1,Rbm39,Aldoa
